frameNo: 407 | Accumulated: 3 | PTS: 108170797245 | PTSInterval: 50028000
frameNo: 410 | Accumulated: 2 | PTS: 108171297236 | PTSInterval: 49999000
frameNo: 412 | Accumulated: 2 | PTS: 108171630263 | PTSInterval: 33303000
frameNo: 414 | Accumulated: 3 | PTS: 108172299980 | PTSInterval: 66972000
frameNo: 417 | Accumulated: 1 | PTS: 108172462945 | PTSInterval: 16296000
frameNo: 418 | Accumulated: 1 | PTS: 108172962829 | PTSInterval: 49988000
frameNo: 419 | Accumulated: 1 | PTS: 108173462620 | PTSInterval: 49980000
frameNo: 420 | Accumulated: 2 | PTS: 108174303724 | PTSInterval: 84110000
frameNo: 422 | Accumulated: 1 | PTS: 108174463855 | PTSInterval: 16013000
frameNo: 423 | Accumulated: 2 | PTS: 108175295911 | PTSInterval: 83206000
frameNo: 425 | Accumulated: 2 | PTS: 108175630673 | PTSInterval: 33476000
frameNo: 427 | Accumulated: 1 | PTS: 108175967296 | PTSInterval: 33662000
frameNo: 428 | Accumulated: 1 | PTS: 108176463338 | PTSInterval: 49604000
frameNo: 429 | Accumulated: 1 | PTS: 108176965435 | PTSInterval: 50210000
frameNo: 430 | Accumulated: 1 | PTS: 108177463649 | PTSInterval: 49821000
frameNo: 431 | Accumulated: 1 | PTS: 108177963646 | PTSInterval: 50000000
frameNo: 432 | Accumulated: 1 | PTS: 108178461344 | PTSInterval: 49770000
frameNo: 433 | Accumulated: 1 | PTS: 108178963246 | PTSInterval: 50190000
frameNo: 434 | Accumulated: 1 | PTS: 108179463019 | PTSInterval: 49977000
frameNo: 435 | Accumulated: 1 | PTS: 108179961741 | PTSInterval: 49873000
frameNo: 436 | Accumulated: 2 | PTS: 108180629312 | PTSInterval: 66757000
frameNo: 438 | Accumulated: 1 | PTS: 108180961871 | PTSInterval: 33256000
frameNo: 439 | Accumulated: 1 | PTS: 108181463937 | PTSInterval: 50206000
frameNo: 440 | Accumulated: 1 | PTS: 108181963398 | PTSInterval: 49946000
frameNo: 441 | Accumulated: 1 | PTS: 108182465634 | PTSInterval: 50224000
frameNo: 442 | Accumulated: 1 | PTS: 108182963783 | PTSInterval: 49815000
frameNo: 443 | Accumulated: 1 | PTS: 108183463578 | PTSInterval: 49979000
frameNo: 444 | Accumulated: 1 | PTS: 108183964254 | PTSInterval: 50068000
frameNo: 445 | Accumulated: 1 | PTS: 108184464098 | PTSInterval: 49984000
frameNo: 446 | Accumulated: 1 | PTS: 108184964255 | PTSInterval: 50016000
frameNo: 447 | Accumulated: 1 | PTS: 108185462248 | PTSInterval: 49799000
frameNo: 448 | Accumulated: 1 | PTS: 108185964181 | PTSInterval: 50194000
frameNo: 449 | Accumulated: 2 | PTS: 108186796570 | PTSInterval: 83239000
frameNo: 451 | Accumulated: 1 | PTS: 108186963156 | PTSInterval: 16658000
frameNo: 452 | Accumulated: 1 | PTS: 108187464448 | PTSInterval: 50129000
frameNo: 453 | Accumulated: 1 | PTS: 108187964560 | PTSInterval: 50012000
frameNo: 454 | Accumulated: 1 | PTS: 108188464080 | PTSInterval: 49952000
frameNo: 455 | Accumulated: 1 | PTS: 108188964091 | PTSInterval: 50001000
frameNo: 456 | Accumulated: 1 | PTS: 108189463202 | PTSInterval: 49911000
frameNo: 457 | Accumulated: 1 | PTS: 108189969535 | PTSInterval: 50633000
frameNo: 458 | Accumulated: 1 | PTS: 108190462967 | PTSInterval: 49343000
frameNo: 459 | Accumulated: 1 | PTS: 108190963349 | PTSInterval: 50038000
frameNo: 460 | Accumulated: 2 | PTS: 108191636123 | PTSInterval: 67278000
frameNo: 462 | Accumulated: 1 | PTS: 108191964093 | PTSInterval: 32797000
frameNo: 463 | Accumulated: 1 | PTS: 108192470268 | PTSInterval: 50617000
frameNo: 464 | Accumulated: 1 | PTS: 108192962324 | PTSInterval: 49206000
frameNo: 465 | Accumulated: 1 | PTS: 108193463188 | PTSInterval: 50086000
frameNo: 466 | Accumulated: 1 | PTS: 108193963431 | PTSInterval: 50025000
frameNo: 467 | Accumulated: 3 | PTS: 108194816453 | PTSInterval: 85302000
frameNo: 470 | Accumulated: 2 | PTS: 108195309974 | PTSInterval: 49352000
frameNo: 472 | Accumulated: 3 | PTS: 108195804574 | PTSInterval: 49460000
frameNo: 475 | Accumulated: 1 | PTS: 108195998663 | PTSInterval: 19409000
frameNo: 476 | Accumulated: 2 | PTS: 108196631934 | PTSInterval: 63327000
frameNo: 478 | Accumulated: 1 | PTS: 108196969034 | PTSInterval: 33710000
